date,number
2020-01-01,3530570
2020-01-02,4749850
2020-01-03,5116032
2020-01-04,4258174
2020-01-05,3536734
2020-01-06,4542516
2020-01-07,4631448
2020-01-08,4726788
2020-01-09,5175578
2020-01-10,5353688
2020-01-11,3665164
2020-01-12,3496688
2020-01-13,4632856
2020-01-14,4683090
2020-01-15,4737594
2020-01-16,4964146
2020-01-17,5051524
2020-01-18,4289600
2020-01-19,3782534
2020-01-20,4819472
2020-01-21,4825772
2020-01-22,4612042
2020-01-23,2735540
2020-01-24,1646084
2020-01-25,2634326
2020-01-26,2205316
2020-01-27,2684722
2020-01-28,2805588
2020-01-29,2626840
2020-01-30,3863682
2020-01-31,4173704
