日期,人數
2020-03-01,2298396
2020-03-02,3840866
2020-03-03,3893114
2020-03-04,3935158
2020-03-05,3982296
2020-03-06,4242498
2020-03-07,2980454
2020-03-08,2480806
2020-03-09,3853220
2020-03-10,3952812
2020-03-11,4010684
2020-03-12,3999010
2020-03-13,4286960
2020-03-14,2910900
2020-03-15,2602288
2020-03-16,3828696
2020-03-17,3863530
2020-03-18,3837128
2020-03-19,3758874
2020-03-20,3957214
2020-03-21,2536738
2020-03-22,2087328
2020-03-23,3513274
2020-03-24,3582726
2020-03-25,3596998
2020-03-26,3595082
2020-03-27,3796594
2020-03-28,2267042
2020-03-29,2028930
2020-03-30,3489272
2020-03-31,3598840
