人數,日期
2021-01-01,2804314
2021-01-02,3040274
2021-01-03,2788984
2021-01-04,4160948
2021-01-05,4249708
2021-01-06,4325498
2021-01-07,4303040
2021-01-08,4575346
2021-01-09,3354924
2021-01-10,2827984
2021-01-11,4190090
2021-01-12,4255102
2021-01-13,4348784
2021-01-14,4403052
2021-01-15,4777634
2021-01-16,3563606
2021-01-17,2789314
2021-01-18,4132626
2021-01-19,4270000
2021-01-20,4466226
2021-01-21,4209974
2021-01-22,4367724
2021-01-23,3271456
2021-01-24,2822878
2021-01-25,3998422
2021-01-26,4095822
2021-01-27,4109486
2021-01-28,4098134
2021-01-29,4382524
2021-01-30,3375076
2021-01-31,2839602
